year,month,day,avg_temp
2013,4,2,5.0
2013,4,3,5.0
2013,4,4,4.5
2013,4,5,7.5
2013,4,6,7.5
2013,4,7,6.0
2013,4,8,8.5
2013,4,9,8.5
2013,4,10,9.5
2013,4,11,13.0
2013,4,12,12.0
2013,4,13,11.5
2013,4,14,12.5
2013,4,15,14.0
2013,4,16,13.0
2013,4,17,14.0
2013,4,18,17.5
2013,4,19,15.0
2013,4,20,16.0
2013,4,21,14.5
2013,4,22,15.5
2013,4,23,16.0
2013,4,24,17.0
2013,4,25,19.5
2013,4,26,20.0
2013,4,27,19.0
2013,4,28,18.0
2013,4,29,20.5
2013,4,30,21.5
2013,5,1,20.5
2013,5,2,22.0
2013,5,3,18.0
2013,5,4,18.0
2013,5,5,19.5
2013,5,6,20.5
2013,5,7,20.0
2013,5,8,19.5
2013,5,9,19.5
2013,5,10,19.0
2013,5,11,18.5
2013,5,12,14.5
2013,5,13,12.5
2013,5,14,14.5
2013,5,15,17.0
2013,5,16,19.0
2013,5,17,17.5
2013,5,18,17.5
2013,5,19,19.0
2013,5,20,15.5
2013,5,21,16.5
2013,5,22,14.5
2013,5,23,12.0
2013,5,24,14.5
2013,5,25,13.0
2013,5,26,12.0
2013,5,27,11.0
2013,5,28,14.5
2013,5,29,20.0
2013,5,30,12.5
2013,5,31,12.0
2013,6,1,14.0
2013,6,2,14.5
2013,6,3,14.5
2013,6,4,15.5
2013,6,5,16.0
2013,6,6,18.0
2013,6,7,20.0
2013,6,8,22.0
2013,6,9,22.0
2013,6,10,20.0
2013,6,11,16.5
2013,6,12,18.0
2013,6,13,21.5
2013,6,14,21.5
2013,6,15,23.0
2013,6,16,24.5
2013,6,17,26.5
2013,6,18,29.0
2013,6,19,28.5
2013,6,20,28.0
2013,6,21,26.5
2013,6,22,26.5
2013,6,23,23.0
2013,6,24,19.0
2013,6,25,14.5
2013,6,26,15.0
2013,6,27,16.5
2013,6,28,18.0
2013,6,29,17.5
2013,6,30,17.0
2013,7,1,18.0
2013,7,2,21.0
2013,7,3,22.5
2013,7,4,24.5
2013,7,5,24.5
2013,7,6,25.0
2013,7,7,24.0
2013,7,8,24.0
2013,7,9,23.5
2013,7,10,25.5
2013,7,11,20.5
2013,7,12,19.0
2013,7,13,20.5
2013,7,14,22.5
2013,7,15,19.5
2013,7,16,20.5
2013,7,17,24.5
2013,7,18,25.5
2013,7,19,25.0
2013,7,20,22.0
2013,7,21,22.5
2013,7,22,23.5
2013,7,23,24.0
2013,7,24,24.0
2013,7,25,24.5
2013,7,26,25.5
2013,7,27,28.5
2013,7,28,30.0
2013,7,29,28.5
2013,7,30,23.0
2013,8,3,30.0
2013,8,4,28.0
2013,8,5,29.5
2013,8,6,29.5
2013,8,7,30.0
2013,8,8,30.5
2013,8,9,29.0
2013,8,10,21.0
2013,8,11,23.5
2013,8,12,24.0
2013,8,13,25.0
2013,8,14,16.0
2013,8,15,20.5
2013,8,16,23.5
2013,8,17,26.0
2013,8,18,27.5
2013,8,19,27.0
2013,8,20,25.0
2013,8,21,22.0
2013,8,22,22.5
2013,8,23,24.0
2013,8,24,24.5
2013,8,25,22.0
2013,8,26,21.0
2013,8,27,22.0
2013,8,28,21.0
